0.03939275,0.0399287,0.0377512,0.03833905,0.03561265
0.0336415,0.03411535,0.03061645,0.0324664,0.02932685
0.02819525,0.02870505,0.02440235,0.0270722,0.0237996
0.02314715,0.02377945,0.0190451,0.0221335,0.0187046
0.01878535,0.0192868,0.0145696,0.01766905,0.01438985
0.0148238,0.01541875,0.01082565,0.01383585,0.01071615
0.01146885,0.0119482,0.0079172,0.01065895,0.00781915
0.0085665,0.00901485,0.00561535,0.00798505,0.0056026
0.00623735,0.00669705,0.0038561,0.0058276,0.0039707
0.0043635,0.00474865,0.0025851,0.0041619,0.0028171
0.00299435,0.00331235,0.00167315,0.00282045,0.00199075
0.00194165,0.0021984,0.00103775,0.0018606,0.0013615
0.0011997,0.00138265,0.00062095,0.00119245,0.0008745
0.00071105,0.00084745,0.0003575,0.0007226,0.00054715
0.00038765,0.000496,0.00019615,0.00041115,0.0003187
0.0001899,0.0002641,0.0001011,0.0002325,0.00017315
9.7e-05,0.00013735,4.57e-05,0.0001205,9.47e-05
4.235e-05,6.97e-05,2.175e-05,5.59e-05,4.865e-05
1.825e-05,2.795e-05,8.8e-06,2.65e-05,2.185e-05
5.55e-06,1.09e-05,3e-06,1.275e-05,9.95e-06
1.75e-06,5e-06,1.15e-06,4.55e-06,3.4e-06
